,model,dataset,germaniconly,genre_map,chunked,withpunkt,balanced,QA,academic,advertisement,fiction,guide,legal,news,nonfiction,accuracy,macro_F1,weighted_F1
0,mbert,CORE,False,4,True,True,False,0.21428571428571427,0.5,0.15789473684210525,0.3950617283950617,0.26426426426426425,0.7368421052631579,0.0,0.28368794326241137,0.31262939958592134,0.31900456153908935,0.30694102397373835
1,mbert,CORE,True,4,True,True,False,0.2857142857142857,0.5,0.12080536912751678,0.3373493975903614,0.2608695652173913,0.9032258064516129,0.0,0.36477987421383645,0.33126293995859213,0.34659303728937557,0.32788084970676823
2,xlmr,CORE,False,4,True,True,True,0.5142857142857142,0.46511627906976744,0.058394160583941604,0.49382716049382713,0.2919254658385093,0.8064516129032258,0.08,0.3,0.34368530020703936,0.3762500491468732,0.31947198721563547
3,xlmr,CORE,False,4,True,True,False,0.43478260869565216,0.39603960396039606,0.028985507246376812,0.4631578947368421,0.27976190476190477,0.7586206896551724,0.0,0.18461538461538463,0.2898550724637681,0.31824544920896614,0.25993388227516073
4,hmbert,CORE,False,4,True,True,False,0.2222222222222222,0.3541666666666667,0.09580838323353294,0.4175824175824176,0.24797843665768193,0.8275862068965517,0.0,0.09836065573770492,0.2587991718426501,0.28296312362459725,0.23364734690197672
5,mbert,CORE,True,4,True,True,True,0.0392156862745098,0.48148148148148145,0.014705882352941176,0.2857142857142857,0.23493975903614459,0.8115942028985508,0.0,0.3401360544217687,0.2919254658385093,0.2759734190224603,0.2579855704338695
6,xlmr,CORE,True,4,True,True,False,0.13043478260869565,0.5413533834586466,0.18064516129032257,0.4090909090909091,0.29553264604810997,0.9705882352941176,0.08,0.3125,0.3581780538302277,0.3650181397238502,0.34170735680322917
7,mbert,CORE,False,4,True,True,True,0.16666666666666666,0.4461538461538462,0.1,0.2807017543859649,0.26392961876832843,0.7666666666666667,0.0,0.3576158940397351,0.2981366459627329,0.29771680583515103,0.28973732345364195
8,hmbert,CORE,True,4,True,True,False,0.05128205128205128,0.5170068027210885,0.05405405405405406,0.3466666666666667,0.2356687898089172,0.9090909090909091,0.0,0.2962962962962963,0.30434782608695654,0.3012581962399979,0.2764225157212571
9,xlmr,CORE,True,4,True,True,True,0.32727272727272727,0.6099290780141844,0.15384615384615385,0.4864864864864865,0.3387096774193548,0.8333333333333334,0.10526315789473684,0.5314009661835749,0.4244306418219462,0.42328019755631896,0.4114448612857995
10,hmbert,CORE,True,4,True,True,True,0.045454545454545456,0.5211267605633803,0.0,0.4117647058823529,0.21052631578947367,0.6274509803921569,0.0,0.2518518518518518,0.2587991718426501,0.2585218949917201,0.2342593844886914
11,hmbert,CORE,False,4,True,True,True,0.08695652173913043,0.4132231404958678,0.12162162162162163,0.47058823529411764,0.24064171122994651,0.8333333333333334,0.0,0.1732283464566929,0.2753623188405797,0.2924491137713388,0.2595174262257887
