,model,dataset,germaniconly,genre_map,chunked,withpunkt,balanced,QA,academic,administrative,fiction,guide,legal,news,nonfiction,accuracy,macro_F1,weighted_F1
0,hmbert,UDM,False,4,True,True,False,0.046511627906976744,0.02857142857142857,0.4462809917355372,0.32432432432432434,0.25,0.2545454545454545,0.016,0.07194244604316546,0.15714285714285714,0.17977203414086085,0.1813636670269212
1,mbert,UDM,False,4,True,True,False,0.09302325581395349,0.39316239316239315,0.14814814814814814,0.39215686274509803,0.32608695652173914,0.24615384615384617,0.008849557522123894,0.03508771929824561,0.18333333333333332,0.20533359242069346,0.20107841053770872
2,mbert,UDM,False,4,True,True,True,0.23529411764705882,0.5671641791044776,0.2727272727272727,0.3055555555555556,0.22580645161290322,0.33962264150943394,0.04145077720207254,0.0,0.23333333333333334,0.24845262441984678,0.24237678261733053
3,xlmr,UDM,True,4,True,True,False,0.44,0.08108108108108109,0.5714285714285714,0.05970149253731343,0.37209302325581395,0.0,0.02,0.06837606837606838,0.16904761904761906,0.20158502958485605,0.21530051783837673
4,mbert,UDM,True,4,True,True,False,0.16326530612244897,0.0,0.32,0.0,0.2898550724637681,0.05128205128205128,0.0440251572327044,0.0,0.09047619047619047,0.1085534483876216,0.10715405173569277
5,xlmr,UDM,False,4,True,True,True,0.5483870967741935,0.3783783783783784,0.23255813953488372,0.4533333333333333,0.3050847457627119,0.26229508196721313,0.0661764705882353,0.0,0.21666666666666667,0.28077665579236866,0.25028620793236317
6,xlmr,UDM,False,4,True,True,False,0.6666666666666666,0.27906976744186046,0.13157894736842105,0.384,0.17857142857142858,0.25396825396825395,0.07106598984771574,0.21428571428571427,0.24285714285714285,0.2724008460187576,0.26283577831612853
7,hmbert,UDM,True,4,True,True,True,0.0,0.02857142857142857,0.5,0.15217391304347827,0.3302752293577982,0.0,0.007751937984496124,0.03361344537815126,0.14047619047619048,0.13154824429191905,0.14900991068994024
8,hmbert,UDM,False,4,True,True,True,0.2962962962962963,0.0,0.34615384615384615,0.3614457831325301,0.23529411764705882,0.07142857142857142,0.023076923076923078,0.017857142857142856,0.14047619047619048,0.1689440850740461,0.1554954302972004
9,xlmr,UDM,True,4,True,True,True,0.4745762711864407,0.08333333333333333,0.2727272727272727,0.2898550724637681,0.36923076923076925,0.05128205128205128,0.06,0.04054054054054054,0.1523809523809524,0.205193163845522,0.1880516692428999
10,mbert,UDM,True,4,True,True,True,0.16326530612244897,0.056338028169014086,0.2682926829268293,0.0,0.3380281690140845,0.0,0.04953560371517028,0.0,0.0880952380952381,0.10943247374344339,0.10964262092818416
11,hmbert,UDM,True,4,True,True,False,0.05,0.1095890410958904,0.43410852713178294,0.23157894736842105,0.23300970873786409,0.0,0.0,0.0,0.13333333333333333,0.1322857780417448,0.14253718486810157
