,model,dataset,germaniconly,genre_map,chunked,withpunkt,balanced,QA,academic,administrative,advertisement,fiction,guide,legal,news,nonfiction,accuracy,macro_F1,weighted_F1
0,hmbert,all,False,4,True,True,False,0.0,0.12195121951219512,0.12987012987012986,0.22077922077922077,0.35789473684210527,0.18796992481203006,0.375,0.018518518518518517,0.12698412698412698,0.15942028985507245,0.1709964308131474,0.1749383483510523
1,mbert,all,False,4,True,True,False,0.0,0.09900990099009901,0.0,0.1388888888888889,0.22535211267605634,0.14671814671814673,0.2545454545454545,0.0,0.05128205128205128,0.09420289855072464,0.10175517278896631,0.1003825312791681
2,xlmr,all,True,4,True,True,False_,0.2857142857142857,0.12244897959183673,0.17721518987341772,0.31645569620253167,0.37362637362637363,0.24186046511627907,0.26666666666666666,0.03319502074688797,0.11570247933884298,0.19202898550724637,0.21476501743079132,0.22078212863059737
3,hmbert,all,False,4,True,True,True,0.14285714285714285,0.25,0.23809523809523808,0.02962962962962963,0.4266666666666667,0.17037037037037037,0.25,0.011560693641618497,0.3699421965317919,0.19202898550724637,0.20990243753249532,0.21275517620505893
4,xlmr,all,True,4,True,True,True,0.5194805194805194,0.2616822429906542,0.24096385542168675,0.5027932960893855,0.3373493975903614,0.36,0.6756756756756757,0.04145077720207254,0.22784810126582278,0.32065217391304346,0.35191598507957533,0.3629183034160253
5,xlmr,all,False,4,True,True,True,0.5084745762711864,0.3829787234042553,0.04938271604938271,0.46511627906976744,0.4225352112676056,0.2896551724137931,0.29473684210526313,0.038834951456310676,0.16417910447761194,0.26992753623188404,0.2906548418350196,0.3075390152197235
6,hmbert,all,True,4,True,True,True,0.045454545454545456,0.25806451612903225,0.2988505747126437,0.4161849710982659,0.2857142857142857,0.19767441860465115,0.07547169811320754,0.015503875968992248,0.15037593984962405,0.19202898550724637,0.19369942507169424,0.24503623851904185
7,mbert,all,True,4,True,True,False,0.0425531914893617,0.15384615384615385,0.24096385542168675,0.2119205298013245,0.13559322033898305,0.15668202764976957,0.17777777777777778,0.007067137809187279,0.034782608695652174,0.11413043478260869,0.1290207225366552,0.1445690545847542
8,mbert,all,True,4,True,True,True,0.0,0.1111111111111111,0.36363636363636365,0.34355828220858897,0.1282051282051282,0.192090395480226,0.24561403508771928,0.03484320557491289,0.05,0.15579710144927536,0.1632287245893389,0.193600971212359
9,mbert,all,False,4,True,True,True,0.17391304347826086,0.24742268041237114,0.12987012987012986,0.21621621621621623,0.2682926829268293,0.1932367149758454,0.15384615384615385,0.04897959183673469,0.21333333333333335,0.17028985507246377,0.1827900607662083,0.2001611277956379
10,xlmr,all,False,4,True,True,False,0.3870967741935484,0.30656934306569344,0.1111111111111111,0.08695652173913043,0.47058823529411764,0.2413793103448276,0.5591397849462365,0.028708133971291867,0.06896551724137931,0.213768115942029,0.2511683035452596,0.20279152656012098
11,hmbert,all,True,4,True,True,False,0.22727272727272727,0.07228915662650602,0.3058823529411765,0.19736842105263158,0.35714285714285715,0.15702479338842976,0.05714285714285714,0.008403361344537815,0.035398230088495575,0.1431159420289855,0.15754719522224656,0.15972825230761092
